,resultado,previsão,limite_superior,limite_inferior,meta
2022-01-01,"0,87119",,,,
2022-02-01,"0,58079",,,,
2022-03-01,"0,58079",,,,
2022-04-01,"0,87119",,,,
2022-05-01,"1,45199",,,,
2022-06-01,"1,45199",,,,
2022-07-01,"0,87119",,,,
2022-08-01,"1,74239",,,,
2022-09-01,"0,87119",,,,
2022-10-01,"0,87119",,,,
2022-11-01,"0,0",,,,
2022-12-01,"1,45199",,,,
2023-01-01,"2,03279",,,,
2023-02-01,"0,58079",,,,
2023-03-01,"2,61358",,,,
2023-04-01,"1,16159",,,,
2023-05-01,"1,16159",,,,
2023-06-01,"1,74239",,,,
2023-07-01,"0,58079",,,,
2023-08-01,"2,32318",,,,
2023-09-01,"1,45199",,,,
2023-10-01,"2,03279",,,,
2023-11-01,"0,58079",,,,
2023-12-01,"1,45199",,,,
2024-01-01,"1,74239",,,,"2,0"
2024-02-01,"0,2904",,,,"0,57"
2024-03-01,"2,03279",,,,"3,15"
2024-04-01,"3,19",,,,"1,14"
2024-05-01,"3,78",,,,"1,14"
2024-06-01,"3,19",,,,"1,72"
2024-07-01,,"1,6984329436436671","2,503295941017024","0,8935699462703105","0,57"
2024-08-01,,"3,005238926521608","3,810101923894965","2,2003759291482514","2,86"
2024-09-01,,"2,1340440481291223","2,938907045502479","1,3291810507557655","1,43"
2024-10-01,,"2,424456591584881","3,2293195889582376","1,619593594211524","2,57"
2024-11-01,,"1,2628524468174809","2,0677154441908376","0,45798944944412423","0,86"
2024-12-01,,"2,424430008572495","3,2292930059458516","1,619567011199138","1,14"
2025-01-01,,"2,845381887888912","3,6502448852622686","2,040518890515555",
2025-02-01,,"1,7805469110348513","2,585409908408208","0,9756839136614947",
2025-03-01,,"3,0389970803247808","3,8438600776981375","2,234134082951424",
2025-04-01,,"3,0375142059524314","3,842377203325788","2,2326512085790746",
2025-05-01,,"3,427775884963729","4,232638882337086","2,622912887590372",
2025-06-01,,"3,424721395455411","4,229584392828768","2,6198583980820542",
2025-07-01,,"2,346726939869265","3,1515899372426217","1,5418639424959082",
2025-08-01,,"3,653532922747206","4,458395920120562","2,848669925373849",
2025-09-01,,"2,78233804435472","3,587201041728077","1,9774750469813633",
2025-10-01,,"3,0727505878104786","3,8776135851838354","2,267887590437122",
2025-11-01,,"1,9111464430430782","2,716009440416435","1,1062834456697215",
2025-12-01,,"3,072724004798092","3,877587002171449","2,2678610074247354",
2026-01-01,,"3,4936758841145092","4,298538881487866","2,6888128867411525",
2026-02-01,,"2,4288409072604487","3,2337039046338054","1,623977909887092",
