,resultado,previsão,limite_superior,limite_inferior,meta
2022-01-01,"0,87119",,,,
2022-02-01,"0,58079",,,,
2022-03-01,"0,58079",,,,
2022-04-01,"0,87119",,,,
2022-05-01,"1,45199",,,,
2022-06-01,"1,45199",,,,
2022-07-01,"0,87119",,,,
2022-08-01,"1,74239",,,,
2022-09-01,"0,87119",,,,
2022-10-01,"0,87119",,,,
2022-11-01,"0,0",,,,
2022-12-01,"1,45199",,,,
2023-01-01,"2,03279",,,,
2023-02-01,"0,58079",,,,
2023-03-01,"2,61358",,,,
2023-04-01,"1,16159",,,,
2023-05-01,"1,16159",,,,
2023-06-01,"1,74239",,,,
2023-07-01,"0,58079",,,,
2023-08-01,"2,32318",,,,
2023-09-01,"1,45199",,,,
2023-10-01,"2,03279",,,,
2023-11-01,"0,58079",,,,
2023-12-01,"1,45199",,,,
2024-01-01,"1,74239",,,,"2,0"
2024-02-01,"0,2904",,,,"0,57"
2024-03-01,"2,03279",,,,"3,15"
2024-04-01,"3,19",,,,"1,14"
2024-05-01,"3,78",,,,"1,14"
2024-06-01,"3,19",,,,"1,72"
2024-07-01,,"1,6984329436436671","2,6575039813356556","0,7393619059516789","0,57"
2024-08-01,,"3,005238926521608","3,964309964213596","2,04616788882962","2,86"
2024-09-01,,"2,1340440481291223","3,0931150858211103","1,174973010437134","1,43"
2024-10-01,,"2,424456591584881","3,383527629276869","1,4653855538928926","2,57"
2024-11-01,,"1,2628524468174809","2,2219234845094693","0,3037814091254927","0,86"
2024-12-01,,"2,424430008572495","3,383501046264483","1,4653589708805066","1,14"
2025-01-01,,"2,845381887888912","3,8044529255809003","1,8863108501969237",
2025-02-01,,"1,7805469110348513","2,7396179487268393","0,8214758733428631",
2025-03-01,,"3,0389970803247808","3,9980681180167688","2,079926042632793",
2025-04-01,,"3,0375142059524314","3,99658524364442","2,078443168260443",
2025-05-01,,"3,427775884963729","4,386846922655717","2,4687048472717406",
2025-06-01,,"3,424721395455411","4,383792433147399","2,4656503577634226",
2025-07-01,,"2,346726939869265","3,3057979775612534","1,3876559021772767",
2025-08-01,,"3,653532922747206","4,612603960439194","2,694461885055218",
2025-09-01,,"2,78233804435472","3,741409082046708","1,823267006662732",
2025-10-01,,"3,0727505878104786","4,031821625502467","2,1136795501184906",
2025-11-01,,"1,9111464430430782","2,870217480735066","0,95207540535109",
2025-12-01,,"3,072724004798092","4,031795042490081","2,1136529671061037",
2026-01-01,,"3,4936758841145092","4,452746921806497","2,5346048464225213",
2026-02-01,,"2,4288409072604487","3,387911944952437","1,4697698695684605",
