,resultado,previsão,limite_superior,limite_inferior,meta
2022-01-01,"0,87119",,,,
2022-02-01,"0,58079",,,,
2022-03-01,"0,58079",,,,
2022-04-01,"0,87119",,,,
2022-05-01,"1,45199",,,,
2022-06-01,"1,45199",,,,
2022-07-01,"0,87119",,,,
2022-08-01,"1,74239",,,,
2022-09-01,"0,87119",,,,
2022-10-01,"0,87119",,,,
2022-11-01,"0,0",,,,
2022-12-01,"1,45199",,,,
2023-01-01,"2,03279",,,,
2023-02-01,"0,58079",,,,
2023-03-01,"2,61358",,,,
2023-04-01,"1,16159",,,,
2023-05-01,"1,16159",,,,
2023-06-01,"1,74239",,,,
2023-07-01,"0,58079",,,,
2023-08-01,"2,32318",,,,
2023-09-01,"1,45199",,,,
2023-10-01,"2,03279",,,,
2023-11-01,"0,58079",,,,
2023-12-01,"1,45199",,,,
2024-01-01,"1,74239",,,,"2,0"
2024-02-01,"0,2904",,,,"0,57"
2024-03-01,"2,03279",,,,"3,15"
2024-04-01,"3,19",,,,"1,14"
2024-05-01,"3,78",,,,"1,14"
2024-06-01,"3,19",,,,"1,72"
2024-07-01,,"2,8777216489770505","4,006294087838697","1,749149210115404","0,57"
2024-08-01,,"2,9220082072080955","4,050580646069742","1,793435768346449","2,86"
2024-09-01,,"1,4435904397030068","2,5721628785646535","0,31501800084136033","1,43"
2024-10-01,,"1,6273632295895037","2,7559356684511505","0,49879079072785726","2,57"
2024-11-01,,"2,01233435606228","3,140906794923927","0,8837619172006337","0,86"
2024-12-01,,"2,3841866095034447","3,5127590483650915","1,2556141706417983","1,14"
2025-01-01,,"2,734080823195141","3,8626532620567877","1,6055083843334945",
2025-02-01,,"2,8144074121338365","3,942979850995483","1,68583497327219",
2025-03-01,,"3,234715856906156","4,363288295767802","2,1061434180445096",
2025-04-01,,"2,541254376478386","3,6698268153400324","1,4126819376167397",
2025-05-01,,"2,284024361250838","3,4125968001124845","1,1554519223891917",
2025-06-01,,"2,2274321082950173","3,3560045471566635","1,0988596694333708",
2025-07-01,,"2,057733008305773","3,1863054471674195","0,9291605694441267",
2025-08-01,,"2,262640006943113","3,3912124458047597","1,1340675680814665",
2025-09-01,,"2,3258028292483566","3,4543752681100033","1,19723039038671",
2025-10-01,,"2,758752040568331","3,887324479429977","1,6301796017066843",
2025-11-01,,"2,700643357112426","3,829215795974073","1,5720709182507797",
2025-12-01,,"2,5974971153886566","3,7260695542503033","1,46892467652701",
2026-01-01,,"2,61044791524547","3,739020354107116","1,4818754763838233",
2026-02-01,,"2,34518209404892","3,473754532910567","1,2166096551872736",
