,resultado,previsão,limite_superior,limite_inferior,meta
2022-01-01,"0,87119",,,,
2022-02-01,"0,58079",,,,
2022-03-01,"0,58079",,,,
2022-04-01,"0,87119",,,,
2022-05-01,"1,45199",,,,
2022-06-01,"1,45199",,,,
2022-07-01,"0,87119",,,,
2022-08-01,"1,74239",,,,
2022-09-01,"0,87119",,,,
2022-10-01,"0,87119",,,,
2022-11-01,"0,0",,,,
2022-12-01,"1,45199",,,,
2023-01-01,"2,03279",,,,
2023-02-01,"0,58079",,,,
2023-03-01,"2,61358",,,,
2023-04-01,"1,16159",,,,
2023-05-01,"1,16159",,,,
2023-06-01,"1,74239",,,,
2023-07-01,"0,58079",,,,
2023-08-01,"2,32318",,,,
2023-09-01,"1,45199",,,,
2023-10-01,"2,03279",,,,
2023-11-01,"0,58079",,,,
2023-12-01,"1,45199",,,,
2024-01-01,"1,74239",,,,"2,0"
2024-02-01,"0,2904",,,,"0,57"
2024-03-01,"2,03279",,,,"3,15"
2024-04-01,"3,19",,,,"1,14"
2024-05-01,"3,78",,,,"1,14"
2024-06-01,"3,19",,,,"1,72"
2024-07-01,,"1,6984329436436671","2,958842781945746","0,43802310534158795","0,57"
2024-08-01,,"3,005238926521608","4,265648764823688","1,744829088219529","2,86"
2024-09-01,,"2,1340440481291223","3,3944538864312017","0,8736342098270431","1,43"
2024-10-01,,"2,424456591584881","3,6848664298869602","1,1640467532828016","2,57"
2024-11-01,,"1,2628524468174809","2,52326228511956","0,0024426085154016786","0,86"
2024-12-01,,"2,424430008572495","3,684839846874574","1,1640201702704156","1,14"
2025-01-01,,"2,845381887888912","4,105791726190991","1,5849720495868327",
2025-02-01,,"1,7805469110348513","3,0409567493369307","0,5201370727327721",
2025-03-01,,"3,0389970803247808","4,29940691862686","1,7785872420227016",
2025-04-01,,"3,0375142059524314","4,29792404425451","1,7771043676503522",
2025-05-01,,"3,427775884963729","4,688185723265808","2,16736604666165",
2025-06-01,,"3,424721395455411","4,68513123375749","2,164311557153332",
2025-07-01,,"2,346726939869265","3,607136778171344","1,0863171015671857",
2025-08-01,,"3,653532922747206","4,913942761049285","2,3931230844451266",
2025-09-01,,"2,78233804435472","4,0427478826567995","1,521928206052641",
2025-10-01,,"3,0727505878104786","4,333160426112558","1,8123407495083994",
2025-11-01,,"1,9111464430430782","3,1715562813451577","0,650736604740999",
2025-12-01,,"3,072724004798092","4,333133843100171","1,812314166496013",
2026-01-01,,"3,4936758841145092","4,754085722416589","2,23326604581243",
2026-02-01,,"2,4288409072604487","3,6892507455625276","1,1684310689583695",
