,resultado,previsão,limite_superior,limite_inferior,meta
2022-01-01,"0,87119",,,,
2022-02-01,"0,58079",,,,
2022-03-01,"0,58079",,,,
2022-04-01,"0,87119",,,,
2022-05-01,"1,45199",,,,
2022-06-01,"1,45199",,,,
2022-07-01,"0,87119",,,,
2022-08-01,"1,74239",,,,
2022-09-01,"0,87119",,,,
2022-10-01,"0,87119",,,,
2022-11-01,"0,0",,,,
2022-12-01,"1,45199",,,,
2023-01-01,"2,03279",,,,
2023-02-01,"0,58079",,,,
2023-03-01,"2,61358",,,,
2023-04-01,"1,16159",,,,
2023-05-01,"1,16159",,,,
2023-06-01,"1,74239",,,,
2023-07-01,"0,58079",,,,
2023-08-01,"2,32318",,,,
2023-09-01,"1,45199",,,,
2023-10-01,"2,03279",,,,
2023-11-01,"0,58079",,,,
2023-12-01,"1,45199",,,,
2024-01-01,"1,74239",,,,"2,0"
2024-02-01,"0,2904",,,,"0,57"
2024-03-01,"2,03279",,,,"3,15"
2024-04-01,"3,19",,,,"1,14"
2024-05-01,"3,78",,,,"1,14"
2024-06-01,"3,19",,,,"1,72"
2024-07-01,,"1,1434450234943943","3,137888046969233","-0,8509979999804445","0,57"
2024-08-01,,"1,9447580393922084","3,9392010628670473","-0,049684984082630335","2,86"
2024-09-01,,"1,3253394722612035","3,3197824957360424","-0,6691035512136352","1,43"
2024-10-01,,"2,4283922447728283","4,422835268247667","0,43394922129798963","2,57"
2024-11-01,,"2,4089522282624913","4,40339525173733","0,41450920478765263","0,86"
2024-12-01,,"3,5504772322238627","5,544920255698702","1,556034208749024","1,14"
2025-01-01,,"3,236746998985212","5,2311900224600505","1,2423039755103733",
2025-02-01,,"1,0060767867463987","3,0005198102212374","-0,98836623672844",
2025-03-01,,"2,471476909542435","4,465919933017274","0,47703388606759645",
2025-04-01,,"2,258503430316013","4,252946453790852","0,2640604068411745",
